name,phone,place_id,address,opening_hours_json,user_ratings_total,query_or_type
VIP Taxi,(520) 300-3000,TOymebG3PW73IepwGqypHg,"3740 E 43rd Pl, Tucson, AZ, 85713",,63,airport shuttle Tucson
A & A Transportation,(520) 303-8797,j2vd-ZDVgz_gOago8Ka2Gw,"Tucson, AZ, 85703",,1,airport shuttle Tucson
Diamond Transportation,(520) 825-8888,QxJbExGfnnbx3ua_PQHlTQ,"6885 N Oracle Rd, Ste F, Tucson, AZ, 85704",,6,airport shuttle Tucson
Greyhound Bus Lines,(520) 792-3475,zkKqDE1MR2wmLZ2OsplPtg,"801 E 12th St, Tucson, AZ, 85701",,48,airport shuttle Tucson
AAR Tucson Total Transportation,(520) 339-3394,EvsYHr3vBcasFRyTogySLw,"7250 S Tucson Blvd, Tucson, AZ, 85756",,3,airport shuttle Tucson
Yellow Cab,(520) 300-0000,WbmpqPw3J10WgHhF1ESthg,"1055 E 18th St, Tucson, AZ, 85719",,75,airport shuttle Tucson
Green Valley Airport Connection,(520) 867-8561,PH3BaDm7yIY7wFO4q6qrqA,"Green Valley, AZ, 85614",,3,airport shuttle Tucson
Tabs Airport Ride,(520) 301-9811,nMtSJvze7t1pjzSEtNHCOA,"Catalina, AZ, 85739",,1,airport shuttle Tucson
Jacks Preferred Transportation,(520) 468-1656,LDP49AiE97mZn1laH9vT0Q,"7389 N Paseo Ronceval, Tucson, AZ, 85704",,0,airport shuttle Tucson
MGH Logistics,(520) 369-0940,RrY4lT4CZKTxfocxfgJrvw,"Tucson, AZ, 85749",,0,airport shuttle Tucson
Desert Fox Transport,(888) 369-2929,5Icb5DZP2-0VR-axDtCSOQ,"Tucson, AZ, 85719",,2,airport shuttle Tucson
A-run Transportation,(520) 878-8029,w6lnDW1qchucNmAKEVvOpA,"Tucson, AZ, 85718",,0,airport shuttle Tucson
Discount Cab,(520) 388-9004,QUFAPyqX-qmlLZ4Jm9nfDw,"829 W Silverlake Rd, Tucson, AZ, 85713",,116,airport shuttle Tucson
JK Transportation,(520) 241-1234,BxoegqJ-CRDIl3MDVqiipg,"Tucson, AZ, 85737",,3,airport shuttle Tucson
VIP Taxi,(602) 300-3000,pums30hjzuRa4pnvVQIudg,"2710 E Washington St, Phoenix, AZ, 85034",,144,airport shuttle Tucson
Cavalier Transportation,(520) 625-1055,vXjPlXPaEXksPpP5K_4rXw,"16101 S Delgado Rd, Sahuarita, AZ, 85629",,7,airport shuttle Tucson
Sassy Cab,(520) 873-9001,E5eEO7QVTZZnYkGRemp1ug,"4105 S Azalea St, Tucson, AZ, 85730",,1,airport shuttle Tucson
Residence Inn by Marriott Tucson Airport,(520) 294-5522,aegLzQg5DDE3x1hVhlllfg,"2660 East Medina Road, Tucson, AZ, 85756",,54,airport shuttle Tucson
Allison Limousine,(520) 888-5466,-ZHqw0AYXzYedxFBICgboQ,"722 E 46th St, Tucson, AZ, 85713",,17,shuttle service Tucson
UberFast Transportation Tours,(520) 223-1882,2vnaJEi0HaQvQKXS75CskA,"420 Circulo Cisne A, Rio Rico, AZ, 85648",,0,shuttle service Tucson
Good Times Rollin,(520) 251-8767,vgU92bEmmslWKnK1hum9VA,"Casa Grande, AZ, 85194",,3,shuttle service Tucson
AB Cab LLC,(520) 623-7979,eBxD9hT8WlrbrKZjS0-GKQ,"246 W 22nd St, Tucson, AZ, 85713",,2,shuttle service Tucson
ABC Taxi,(520) 624-5303,ckcLbYKsZMrwn3GNcceTMQ,"246 W 22nd St, Tucson, AZ, 85713",,14,shuttle service Tucson
AZ Wine Hops Touring,(520) 554-0435,7GGSJ-33InD7FpmmjD5C6w,"4342 W Viewpointe Pl, Tucson, AZ, 85741",,3,shuttle service Tucson
AZ Outlet,(480) 438-6157,rX3la119CIC3GITTtiiwhA,"1855 E Don Carlos Ave, Ste 109, Tempe, AZ, 85281",,0,shuttle service Tucson
Tucson Sonoran Express,(520) 954-2556,L9WeyS4s5E5EUyd0Lx_a4w,"Tucson, AZ, 85715",,1,shuttle service Tucson
Arizona Winery Transportation,(951) 972-0135,43zg-yDxLYfs58LTk7KH7A,"Oro Valley, AZ, 85755",,2,shuttle service Tucson
Arizona Winery Tours,(520) 338-9302,bzhZ5uKxTspCIopZ6YM7ig,"Oro Valley, AZ, 85755",,137,shuttle service Tucson
Wright Executive Limousines,(520) 271-4196,qG-DNAf514DIWjEjP5Q7ZQ,"8340 N Thornydale Rd, Tucson, AZ, 85741",,7,limousine Tucson
Xtreme Limousine,(520) 807-5466,vwDMPGnE9eVQni4zQ-P4-A,"2775 E Ganley Rd, Ste 103, Tucson, AZ, 85756",,17,limousine Tucson
Empire Limousine,(520) 338-5137,un3iotR_k4Oid0HRUnaGog,"7583 E Cynthia Pl, Tucson, AZ, 85710",,11,limousine Tucson
Wild West Limo,(520) 274-0694,gDry1e0ht-CKz85H1YuGLg,"Tucson, AZ, 85706",,0,limousine Tucson
Tucson Limo,(520) 428-6060,8MY7EflacUaiW-zdD13gqg,"5425 E Broadway Blvd, Ste 160, Tucson, AZ, 85711",,0,limousine Tucson
Maximum Transportation,(520) 399-2400,FyzCVbBf0WJr5aT_KqsKJg,"14370 S Avenida Haley, Sahuarita, AZ, 85629",,6,limousine Tucson
Tucson Auto Services,(520) 358-9646,dzoSNyn6yu7Neci1bE5Wag,"3631 E 44th St, Tucson, AZ, 85713",,1,car service Tucson
Tucson Towncars,(520) 884-5997,iG-AWC6-FmTroyJ9xpFQzQ,"2456 N Ironwood Ridge Dr, Tucson, AZ, 85745",,1,car service Tucson
Carrera Car Services,(520) 909-4933,k--SZvMXTb7bs60_uw6sng,"Tucson, AZ, 85715",,2,car service Tucson
Driver Elite Transportation,(520) 331-9400,NGwQmWz-R2NUNSV8qS_HCQ,"Tucson, AZ, 85745",,21,car service Tucson
Low Cost Rides,(520) 979-3428,SqNXXCUMznOd9FgzB6yRSg,"7430 E 29th St, Tucson, AZ, 85710",,6,car service Tucson
Aesthetic Auto Spa,(520) 934-9629,jSbXog59aVQw-Gt0CQRwew,"612 N 7th Ave, Tucson, AZ, 85705",,12,car service Tucson
Performance Complete Auto Care,(520) 790-2300,DrTb_TuBuFEcwGVFMQg0OA,"8200 E 22nd St, Tucson, AZ, 85710",,77,car service Tucson
RECON Auto Detailing,(520) 262-4512,dRqRBDrQZsNKo72JlEcejw,"3829 N Oracle Rd, Tucson, AZ, 85705",,108,car service Tucson
Echos Pilot Car Service,(520) 262-1120,CJkfg5l8fwq9o4LRYW70HA,"9924 West Calle Anasazi, Tucson, AZ, 85735",,1,car service Tucson
Micro Import Service,(520) 795-8724,ZXe3tsBIb_On8qdhZTT0rw,"1033 N Catalina Ave, Tucson, AZ, 85711",,84,car service Tucson
Limo Services Tucson,(520) 775-3535,8PUsFlil6tz-52qoX9xDJg,"9517 E Old Vail Rd, Tucson, AZ, 85747",,0,car service Tucson
Tucson Subaru,(520) 721-2400,cHEHjDU4biZxiEyglZL9lw,"4901 N Oracle Rd, Tucson, AZ, 85704",,162,car service Tucson
Enterprise Car Sales,(800) 472-1504,mAum-FMG31OF-oJq8Xq6tA,"3313 E Speedway Blvd, Tucson, AZ, 85716",,37,car service Tucson
Ricky Slicky Mobile Detailing,(520) 310-9959,d6tX2_WeYAPf5N1eIXIzMA,"Tucson, AZ, 85711",,2,car service Tucson
Little Germany,(520) 881-3273,izo9vZ7oFb6c5eC6cBiACA,"5235 E Speedway Blvd, Tucson, AZ, 85712",,64,car service Tucson
Tucson Jet Center,(520) 746-1411,fCCpbmisJ8CxFyRaO8GYOw,"6720 S Plumer Ave, Tucson, AZ, 85756",,13,car service Tucson
Starr Transportation,(520) 544-7895,JgpiqWkg014G-cKi3iaZxw,"2841 W Mesa Verde Pl, Tucson, AZ, 85742",,8,car service Tucson
Arizona U-Pull & Save,(520) 293-2310,XBttcZbUxVWAvGe_447oLA,"5602 N Camino De La Tierra, Tucson, AZ, 85705",,8,car service Tucson
JD Auto Body & Service,(520) 622-3377,cvURLg6iypv74U_NNS6Psw,"1246 West Florence St, Tucson, AZ, 85705",,7,car service Tucson
B & B Transportation,(520) 883-0384,ktZZNOKr3NcRo8hqQnc-FA,"1645 W Valencia Rd, Ste 109-402, Tucson, AZ, 85746",,20,car service Tucson
Fast Park & Relax,(520) 889-7275,VSzHlisoR5VXFabWIryPbQ,"6970 S Tucson Blvd, Tucson, AZ, 85756",,70,car service Tucson
Panda Hub,(602) 878-2214,b4YTHf_ysebLs4om69VPbg,"177 N Church Ave, Tucson, AZ, 85701",,0,car service Tucson
